iter	RMSE
0	0.2700191
1	0.2671753871
2	0.2638156835
3	0.2612804424
4	0.2587783083
5	0.2562174919
6	0.2540283823
7	0.2518231704
8	0.2499080741
9	0.2477597012
10	0.2461725407
11	0.2437726687
12	0.2414401114
13	0.2396815137
14	0.2383351852
15	0.2368770291
16	0.2353039947
17	0.2339929998
18	0.2328788425
19	0.2311186109
20	0.2296898373
21	0.2287148543
22	0.2270302494
23	0.2255405046
24	0.2240444191
25	0.222966174
26	0.2221626019
27	0.221173013
28	0.2202433394
29	0.2190349951
30	0.2182658649
31	0.21764985
32	0.2168997466
33	0.2162938056
34	0.2156395515
35	0.215160591
36	0.2136416701
37	0.2130673864
38	0.2123210353
39	0.2114471117
40	0.2103233702
41	0.2098223156
42	0.209400269
43	0.2088697725
44	0.2084682519
45	0.207369674
46	0.2070817423
47	0.2067513207
48	0.2055176126
49	0.2050621802
50	0.2047243371
51	0.2043047709
52	0.2035488003
53	0.2029361252
54	0.2024550529
55	0.2020319763
56	0.2016301735
57	0.20136712
58	0.2010668341
59	0.2004264648
60	0.1997990802
61	0.1992199078
62	0.1984289567
63	0.1982290977
64	0.1979764973
65	0.1973921464
66	0.1970577833
67	0.1968596804
68	0.1966530428
69	0.1961353286
70	0.1958585651
71	0.1954993467
72	0.1947454057
73	0.1944985522
74	0.1943384377
75	0.1940607364
76	0.1939116946
77	0.1937592297
78	0.1932156112
79	0.1929755961
80	0.1927485324
81	0.1923588284
82	0.192211557
83	0.1915945614
84	0.1913916437
85	0.1908574817
86	0.1904864451
87	0.1903676993
88	0.189955829
89	0.1898340673
90	0.1894747194
91	0.1893083888
92	0.1890950046
93	0.1888699826
94	0.188578492
95	0.1883693543
96	0.1882172432
97	0.1880496457
98	0.1878224197
99	0.1874798981
100	0.1869168744
101	0.1865400342
102	0.1864139988
103	0.1862985276
104	0.1861917966
105	0.1861500207
106	0.1857891223
107	0.1854435212
108	0.1853048752
109	0.185090743
110	0.1847526431
111	0.1844122112
112	0.184311187
113	0.1841431761
114	0.1839598758
115	0.1838114793
116	0.1836347221
117	0.1831579398
118	0.1830218718
119	0.1829293857
120	0.1828115564
121	0.1826424013
122	0.1821762818
123	0.1821310958
124	0.1819963768
125	0.1818397541
126	0.1817628232
127	0.1815906961
128	0.1814678825
129	0.1813520348
130	0.181264119
131	0.1810121151
132	0.18088903
133	0.180614601
134	0.1805153606
135	0.1804426437
136	0.1800129806
137	0.1797759895
138	0.1795003383
139	0.1791937277
140	0.1791151576
141	0.1790292424
142	0.1788972093
143	0.178762647
144	0.178660029
145	0.1785102449
146	0.1783537409
147	0.1780726366
148	0.1778076284
149	0.1777419838
150	0.1775361991
151	0.1773964417
152	0.1772693145
153	0.177032975
154	0.1769304748
155	0.1767861795
156	0.1767058315
157	0.1766134332
158	0.1765385126
159	0.1763668906
160	0.1763193548
161	0.1760208396
162	0.1758723619
163	0.175781669
164	0.1756931295
165	0.1756145493
166	0.1753709533
167	0.1751885006
168	0.1750213972
169	0.1749195354
170	0.1748527115
171	0.1748095688
172	0.1745778488
173	0.1744862893
174	0.1744110382
175	0.1740755976
176	0.1740094068
177	0.1739274406
178	0.173772319
179	0.173695529
180	0.1734660165
181	0.1733107689
182	0.1732370461
183	0.1731778516
184	0.1730816213
185	0.1730041098
186	0.1729211962
187	0.1727124183
188	0.1725707996
189	0.1725317998
190	0.1724689766
191	0.1723833979
192	0.1722051043
193	0.172166186
194	0.1718812029
195	0.1716765537
196	0.1715903637
197	0.1715263234
198	0.171440723
199	0.1713922648
200	0.171284313
201	0.1710695469
202	0.1708906021
203	0.1706807572
204	0.1705604409
205	0.1703387248
206	0.17025418
207	0.1701515191
208	0.1700470948
209	0.1699092876
210	0.1698608332
211	0.1697122425
212	0.1696682196
213	0.1695056425
214	0.1694184703
215	0.169095914
216	0.1689603692
217	0.1688149149
218	0.1687368234
219	0.1686849876
220	0.1686306976
221	0.1685465627
222	0.1684529498
223	0.1683817632
224	0.1682004062
225	0.1680860679
226	0.1680075596
227	0.1678782164
228	0.1676659495
229	0.1675217127
230	0.167444172
231	0.1673655354
232	0.1672725213
233	0.1672241604
234	0.1670856587
235	0.1670442855
236	0.1669890443
237	0.1668691313
238	0.166853399
239	0.1668081203
240	0.1666541879
241	0.1666416119
242	0.1666023679
243	0.1664834105
244	0.1662605112
245	0.1661396561
246	0.1660425607
247	0.1659476359
248	0.1657084126
249	0.1655740693
250	0.1654401906
251	0.1654083785
252	0.1653327542
253	0.165238723
254	0.1650983152
255	0.1650339087
256	0.1649775588
257	0.1648510878
258	0.1647808115
259	0.1647417225
260	0.1646754124
261	0.164663348
262	0.1645382725
263	0.1644567384
264	0.1643180587
265	0.1642134336
266	0.1641565294
267	0.1640843152
268	0.1640522842
269	0.1640030334
270	0.1639926079
271	0.1639472606
272	0.1639266711
273	0.1639171266
274	0.1639023987
275	0.1638933419
276	0.1637440819
277	0.1636282135
278	0.1634996486
279	0.1634502997
280	0.1633530338
281	0.1632900964
282	0.1631571403
283	0.1630394381
284	0.1629557501
285	0.1628941043
286	0.1627861984
287	0.1627748293
288	0.1627671745
289	0.1627606677
290	0.1626053342
291	0.1624870264
292	0.162479639
293	0.1624010656
294	0.1623913646
295	0.1622683183
296	0.1621794701
297	0.1620937688
298	0.1620867324
299	0.1619798102
